TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jsoup.HttpStatusException,BRANCH,1.0,3,3
org.jsoup.internal.StringUtil,BRANCH,0.9818181818181818,110,106
org.jsoup.internal.ConstrainableInputStream,BRANCH,0.95,40,38
org.jsoup.internal.Normalizer,BRANCH,1.0,6,6
org.jsoup.nodes.Element,BRANCH,0.9685863874345549,382,370
org.jsoup.nodes.CDataNode,BRANCH,1.0,6,6
org.jsoup.nodes.PseudoTextElement,BRANCH,1.0,3,3
org.jsoup.nodes.DataNode,BRANCH,1.0,8,8
org.jsoup.nodes.Entities,BRANCH,0.7857142857142857,98,77
org.jsoup.nodes.Document,BRANCH,0.9607843137254902,102,98
org.jsoup.nodes.FormElement,BRANCH,0.4864864864864865,37,18
org.jsoup.nodes.NodeUtils,BRANCH,1.0,8,8
org.jsoup.nodes.TextNode,BRANCH,0.9655172413793104,58,56
org.jsoup.nodes.LeafNode,BRANCH,1.0,28,28
org.jsoup.nodes.Node,BRANCH,0.9627329192546584,161,155
org.jsoup.nodes.Attribute,BRANCH,0.9452054794520548,73,69
org.jsoup.nodes.DocumentType,BRANCH,1.0,28,28
org.jsoup.nodes.Attributes,BRANCH,0.896551724137931,145,130
org.jsoup.nodes.XmlDeclaration,BRANCH,1.0,17,17
org.jsoup.nodes.Comment,BRANCH,0.9642857142857143,28,27
org.jsoup.nodes.EntitiesData,BRANCH,1.0,1,1
org.jsoup.Jsoup,BRANCH,1.0,19,19
org.jsoup.helper.CookieUtil,BRANCH,0.5714285714285714,21,12
org.jsoup.helper.W3CDom,BRANCH,0.8181818181818182,77,63
org.jsoup.helper.DataUtil,BRANCH,0.5210084033613446,119,62
org.jsoup.helper.HttpConnection,BRANCH,0.7087087087087087,333,235
org.jsoup.helper.Validate,BRANCH,1.0,27,27
org.jsoup.helper.ChangeNotifyingArrayList,BRANCH,0.0,12,0
org.jsoup.SerializationException,BRANCH,1.0,4,4
org.jsoup.parser.Tokeniser,BRANCH,0.8842975206611571,121,105
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.88,50,44
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,7.407407407407407E-4,1350,1
org.jsoup.parser.TokeniserState,BRANCH,0.0,835,0
org.jsoup.parser.Token,BRANCH,0.990909090909091,110,109
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.8555304740406321,443,379
org.jsoup.parser.ParseSettings,BRANCH,1.0,13,11
org.jsoup.parser.TokenQueue,BRANCH,0.9834710743801653,121,116
org.jsoup.parser.CharacterReader,BRANCH,0.9274447949526814,317,291
org.jsoup.parser.Parser,BRANCH,1.0,26,26
org.jsoup.parser.TreeBuilder,BRANCH,0.88,25,22
org.jsoup.parser.Tag,BRANCH,0.8923076923076924,65,57
org.jsoup.parser.ParseError,BRANCH,1.0,8,8
org.jsoup.parser.ParseErrorList,BRANCH,1.0,8,8
org.jsoup.UncheckedIOException,BRANCH,1.0,3,3
org.jsoup.select.Elements,BRANCH,1.0,129,129
org.jsoup.select.Collector,BRANCH,1.0,15,15
org.jsoup.select.Selector,BRANCH,1.0,19,19
org.jsoup.select.Evaluator,BRANCH,0.9817351598173516,219,215
org.jsoup.select.StructuralEvaluator,BRANCH,1.0,50,50
org.jsoup.select.CombiningEvaluator,BRANCH,0.9565217391304348,23,22
org.jsoup.select.NodeTraversor,BRANCH,0.676923076923077,65,44
org.jsoup.select.QueryParser,BRANCH,0.8764044943820225,178,156
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857,14,4
org.jsoup.examples.Wikipedia,BRANCH,0.75,4,3
org.jsoup.examples.HtmlToPlainText,BRANCH,0.9069767441860465,43,39
org.jsoup.safety.Cleaner,BRANCH,0.8823529411764706,34,30
org.jsoup.safety.Safelist,BRANCH,0.8910256410256411,156,139
org.jsoup.UnsupportedMimeTypeException,BRANCH,1.0,4,4
